"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2021-03-24,"WWE","WWE 205 Live","WWE 205 Live #224","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-22,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1452","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-22,"WWE","WWE Main Event","WWE Main Event #443","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-21,"WWE","WWE Fastlane","WWE Fastlane 2021 Kickoff","PLE/PPV","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-21,"WWE","WWE Fastlane","WWE Fastlane 2021","PLE/PPV","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-19,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1126","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-18,"WWE","WWE NXT UK","WWE NXT UK #136","Televised","London, England, UK","London","England","UK"
2021-03-17,"WWE","WWE NXT","WWE NXT #569","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-17,"WWE","WWE 205 Live","WWE 205 Live #223","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-15,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1451","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-15,"WWE","WWE Main Event","WWE Main Event #442","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-12,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1125","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2021-03-11,"WWE","WWE NXT UK","WWE NXT UK #135","Televised","London, England, UK","London","England","UK"
2021-03-10,"WWE","WWE NXT","WWE NXT #568","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-10,"WWE","WWE 205 Live","WWE 205 Live #222","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-03-08,"WWE","WWE Main Event","WWE Main Event #441","Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2020-11-23,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1435","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2020-11-23,"WWE","WWE Main Event","WWE Main Event #426","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
